Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
4;38;Einar;Frønum;M;NOR;Harstad CK;FE3;M Sport 17+;6:44.1;0:45.7;2018-09-23T15:22:44.7250000;Harstad
5;18;Alex;Rufibach;M;SUI;TROMSØ;FE3;M Sport 17+;6:51.1;0:52.7;2018-09-23T15:39:34.2800000;Tromsø
6;48;Jon Håvard;H.appelkvist;M;NOR;IL Stjørdals-Blink;FE3;M Sport 17+;6:53.9;0:55.5;2018-09-23T15:27:38.4670000;Tromsø
7;64;Tord;Nese;M;NOR;Tromsø Enduro/Peab Bjørn Bygg;FE3;M Sport 17+;7:04.4;1:06.0;2018-09-23T15:40:14.6910000;Tromsø
8;63;Rickard;Wessberg;M;SWE;Tromsø Enduro/Consto AS;FE3;M Sport 17+;7:11.6;1:13.2;2018-09-23T15:26:11.8060000;Tromsø
9;23;Martin;Liane;M;NOR;HARSTAD;FE3;M Sport 17+;7:19.4;1:21.0;2018-09-23T15:27:04.1290000;Harstad
10;19;Stian;Hallén;M;NOR;HARSTAD;FE3;M Sport 17+;7:24.3;1:25.9;2018-09-23T15:26:02.5580000;Harstad
11;17;Lars A.;Uttakleiv;M;NOR;HARSTAD;FE3;M Sport 17+;7:25.5;1:27.1;2018-09-23T15:24:21.1820000;Harstad
12;60;Frans;Meijers;M;NOR;Tromsø Enduro;FE3;M Sport 17+;7:29.7;1:31.3;2018-09-23T15:39:45.7930000;Tromsø
13;61;Lars;Gabrielsen;M;NOR;Tromsø Enduro;FE3;M Sport 17+;7:32.1;1:33.7;2018-09-23T15:39:22.8870000;Krokelvdalen
14;24;Carles;Debart;M;ESP;;FE3;M Sport 17+;7:37.6;1:39.2;2018-09-23T15:35:30.7030000;
15;39;Øyvind;Frønum;M;NOR;Harstad CK;FE3;M Sport 17+;7:38.5;1:40.1;2018-09-23T15:27:46.4710000;Harstad
16;44;Håvard;Torvanger;M;NOR;Harstad CK / Equinor BIL;FE3;M Sport 17+;7:48.1;1:49.7;2018-09-23T15:25:34.4260000;Harstad
17;57;Joar;Nilsen;M;NOR;Joar Nilsen / Ofoten Rør og Enduro;FE3;M Sport 17+;7:48.9;1:50.5;2018-09-23T15:24:13.7790000;Narvik
18;52;Jørn;Hanssen;M;NOR;Lofoten Ekstremsportklubb;FE3;M Sport 17+;7:49.6;1:51.2;2018-09-23T15:38:40.4210000;Leknes
19;47;Aleksander;Dysterud;M;NOR;Harstad Cyckel Klubb;FE3;M Sport 17+;7:55.8;1:57.4;2018-09-23T15:30:30.1760000;RAMSUND
20;55;Trond;Kleven;M;NOR;Noclue;FE3;M Sport 17+;8:06.7;2:08.3;2018-09-23T15:28:21.0600000;Harstad
21;65;Audun;Domaas Pedersen;M;NOR;Tromsø Sti&Helse;FE3;M Sport 17+;8:10.8;2:12.4;2018-09-23T15:39:30.6170000;Tromsø
22;58;Arne;Radmann;M;NOR;Sti5;FE3;M Sport 17+;8:18.1;2:19.7;2018-09-23T15:26:31.3960000;Kabelv携
23;67;Anders;S Bråten;M;NOR;Vollstadheia Krankklubb;FE3;M Sport 17+;8:20.5;2:22.1;2018-09-23T15:41:57.4470000;Sørvik
24;56;Leon;Molund;M;NOR;NOR Cykleklubb / Leon Sport;FE3;M Sport 17+;8:35.6;2:37.2;2018-09-23T15:29:29.4830000;Evenskjer
25;26;Gisle;Enge;M;NOR;HARSTAD;FE3;M Sport 17+;8:38.0;2:39.6;2018-09-23T15:37:31.1200000;Harstad
26;53;Jonas;Aksmo;M;NOR;Lofoten Ekstremsportklubb;FE3;M Sport 17+;8:56.3;2:57.9;2018-09-23T15:34:50.5330000;Gravdal
27;20;Emil;Kloster Snekkevik;M;NOR;TROMSØ;FE3;M Sport 17+;8:59.3;3:00.9;2018-09-23T15:35:52.4480000;Tromsø
28;21;Finn;Kuntze;M;NOR;HARSTAD;FE3;M Sport 17+;9:18.4;3:20.0;2018-09-23T15:35:43.4820000;Harstad
29;45;Truls;Haugsmark;M;NOR;Harstad CK;FE3;M Sport 17+;9:20.4;3:22.0;2018-09-23T15:30:43.4710000;Harstad
30;33;Joachim;Aas;M;NOR;Harstad;FE3;M Sport 17+;9:22.1;3:23.7;2018-09-23T15:34:16.3790000;Harstad
31;59;Samuel;Geiseler;M;GER;Tromsø Enduro;FE3;M Sport 17+;9:36.4;3:38.0;2018-09-23T15:39:01.4700000;Tromsø
32;42;Stian Kristoffer;Evensen;M;NOR;Harstad CK;FE3;M Sport 17+;9:38.9;3:40.5;2018-09-23T15:26:58.9030000;Harstad
33;46;Kristian;Kjerkreit;M;NOR;Harstad CK / Equinor BIL;FE3;M Sport 17+;9:39.7;3:41.3;2018-09-23T15:38:04.8630000;Harstad
34;66;Åge;Bunde;M;NOR;Vestre Slidre IL;FE3;M Sport 17+;9:39.9;3:41.5;2018-09-23T15:30:06.4190000;Slidre
