Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
2;64;Tord;Nese;M;NOR;Tromsø Enduro/Peab Bjørn Bygg;FE1;M Sport 17+;5:42.5;0:07.7;2018-09-23T12:37:55.5420000;Tromsø
3;41;Stian;Storeng;M;NOR;Harstad CK;FE1;M Sport 17+;5:46.9;0:12.1;2018-09-23T12:37:08.0770000;Harstad
4;34;Anders;Røkenes;M;NOR;Harstad CK;FE1;M Sport 17+;5:48.7;0:13.9;2018-09-23T12:20:23.0050000;Harstad
5;18;Alex;Rufibach;M;SUI;TROMSØ;FE1;M Sport 17+;5:52.7;0:17.9;2018-09-23T12:34:54.1950000;Tromsø
6;44;Håvard;Torvanger;M;NOR;Harstad CK / Equinor BIL;FE1;M Sport 17+;5:58.0;0:23.2;2018-09-23T12:22:32.3360000;Harstad
7;58;Arne;Radmann;M;NOR;Sti5;FE1;M Sport 17+;5:58.2;0:23.4;2018-09-23T12:22:43.9490000;Kabelv携
8;61;Lars;Gabrielsen;M;NOR;Tromsø Enduro;FE1;M Sport 17+;6:02.6;0:27.8;2018-09-23T12:34:31.1260000;Krokelvdalen
9;48;Jon Håvard;H.appelkvist;M;NOR;IL Stjørdals-Blink;FE1;M Sport 17+;6:06.6;0:31.8;2018-09-23T12:26:37.4690000;Tromsø
10;60;Frans;Meijers;M;NOR;Tromsø Enduro;FE1;M Sport 17+;6:07.7;0:32.9;2018-09-23T12:35:41.3040000;Tromsø
11;28;Christoffer;Borge Olsen;M;NOR;Aron Skiklubb / Aron SK;FE1;M Sport 17+;6:09.2;0:34.4;2018-09-23T12:39:52.0430000;Mjøndalen
12;54;Markus;Nore Kveim;M;NOR;Nissedal Stisykkel;FE1;M Sport 17+;6:12.3;0:37.5;2018-09-23T12:27:03.5100000;Tromsø
13;63;Rickard;Wessberg;M;SWE;Tromsø Enduro/Consto AS;FE1;M Sport 17+;6:16.5;0:41.7;2018-09-23T12:29:15.3200000;Tromsø
14;17;Lars A.;Uttakleiv;M;NOR;HARSTAD;FE1;M Sport 17+;6:19.7;0:44.9;2018-09-23T12:33:07.9820000;Harstad
15;19;Stian;Hallén;M;NOR;HARSTAD;FE1;M Sport 17+;6:21.4;0:46.6;2018-09-23T12:23:26.5780000;Harstad
16;24;Carles;Debart;M;ESP;;FE1;M Sport 17+;6:24.1;0:49.3;2018-09-23T12:29:54.4180000;
17;42;Stian Kristoffer;Evensen;M;NOR;Harstad CK;FE1;M Sport 17+;6:25.7;0:50.9;2018-09-23T12:19:43.2180000;Harstad
18;26;Gisle;Enge;M;NOR;HARSTAD;FE1;M Sport 17+;6:31.4;0:56.6;2018-09-23T12:44:08.9810000;Harstad
19;52;Jørn;Hanssen;M;NOR;Lofoten Ekstremsportklubb;FE1;M Sport 17+;6:33.4;0:58.6;2018-09-23T12:43:05.7880000;Leknes
20;23;Martin;Liane;M;NOR;HARSTAD;FE1;M Sport 17+;6:34.2;0:59.4;2018-09-23T12:31:46.3090000;Harstad
21;47;Aleksander;Dysterud;M;NOR;Harstad Cyckel Klubb;FE1;M Sport 17+;6:34.4;0:59.6;2018-09-23T12:31:08.7160000;RAMSUND
22;67;Anders;S Bråten;M;NOR;Vollstadheia Krankklubb;FE1;M Sport 17+;6:34.6;0:59.8;2018-09-23T12:45:26.5500000;Sørvik
23;21;Finn;Kuntze;M;NOR;HARSTAD;FE1;M Sport 17+;6:37.2;1:02.4;2018-09-23T12:39:14.7430000;Harstad
24;59;Samuel;Geiseler;M;GER;Tromsø Enduro;FE1;M Sport 17+;6:40.6;1:05.8;2018-09-23T12:37:24.3650000;Tromsø
25;39;Øyvind;Frønum;M;NOR;Harstad CK;FE1;M Sport 17+;6:41.9;1:07.1;2018-09-23T12:29:04.3260000;Harstad
26;65;Audun;Domaas Pedersen;M;NOR;Tromsø Sti&Helse;FE1;M Sport 17+;6:52.7;1:17.9;2018-09-23T12:43:57.8880000;Tromsø
27;57;Joar;Nilsen;M;NOR;Joar Nilsen / Ofoten Rør og Enduro;FE1;M Sport 17+;6:58.8;1:24.0;2018-09-23T12:41:14.3270000;Narvik
28;56;Leon;Molund;M;NOR;NOR Cykleklubb / Leon Sport;FE1;M Sport 17+;7:00.7;1:25.9;2018-09-23T12:40:09.6710000;Evenskjer
29;33;Joachim;Aas;M;NOR;Harstad;FE1;M Sport 17+;7:01.4;1:26.6;2018-09-23T12:34:21.5370000;Harstad
30;31;Lars-Erik M.;Solheim;M;NOR;De Utrente!;FE1;M Sport 17+;7:06.6;1:31.8;2018-09-23T12:45:21.7430000;Harstad
31;20;Emil;Kloster Snekkevik;M;NOR;TROMSØ;FE1;M Sport 17+;7:08.7;1:33.9;2018-09-23T12:28:25.8730000;Tromsø
32;45;Truls;Haugsmark;M;NOR;Harstad CK;FE1;M Sport 17+;7:12.6;1:37.8;2018-09-23T12:25:09.4010000;Harstad
33;36;Marius;Stamnes;M;NOR;Harstad CK;FE1;M Sport 17+;7:15.6;1:40.8;2018-09-23T12:35:08.3390000;Harstad
34;53;Jonas;Aksmo;M;NOR;Lofoten Ekstremsportklubb;FE1;M Sport 17+;7:29.2;1:54.4;2018-09-23T12:26:00.1130000;Gravdal
35;46;Kristian;Kjerkreit;M;NOR;Harstad CK / Equinor BIL;FE1;M Sport 17+;7:31.1;1:56.3;2018-09-23T12:42:54.9890000;Harstad
36;30;Gaute;Risnes;M;NOR;CK Elverum;FE1;M Sport 17+;7:32.9;1:58.1;2018-09-23T12:29:18.0110000;Elverum
37;32;Anders;Lagerstrøm;M;SWE;Equinor BIL;FE1;M Sport 17+;7:33.1;1:58.3;2018-09-23T12:24:53.8820000;Harstad
38;55;Trond;Kleven;M;NOR;Noclue;FE1;M Sport 17+;7:34.5;1:59.7;2018-09-23T12:39:05.8580000;Harstad
39;29;Glenn Arthur;Kanebog;M;NOR;Circle K Evenes;FE1;M Sport 17+;7:35.0;2:00.2;2018-09-23T12:31:29.3180000;Harstad
40;37;Tor Anders;Grøvan;M;NOR;Harstad CK / Peab;FE1;M Sport 17+;7:48.4;2:13.6;2018-09-23T12:27:43.3600000;Harstad
41;49;Gøran;Knaplund;M;NOR;Ishavsbyen Sykkel;FE1;M Sport 17+;8:15.1;2:40.3;2018-09-23T12:44:13.5550000;Tomasjord
42;66;Åge;Bunde;M;NOR;Vestre Slidre IL;FE1;M Sport 17+;8:25.7;2:50.9;2018-09-23T12:34:10.4520000;Slidre
43;25;Roger;Berge;M;NOR;HARSTAD;FE1;M Sport 17+;8:31.9;2:57.1;2018-09-23T12:43:20.8350000;Harstad
44;100;Ole Morten;Tunes;M;NOR;Harstad CK / Testløper HCK Enduro;FE1;M Sport 17+;13:16.9;7:42.1;2018-09-23T11:59:13.7190000;Harstad
45;62;Torben;Havstein;M;NOR;Tromsø Enduro;FE1;M Sport 17+;16:29.3;10:54.5;2018-09-23T12:46:32.9430000;Tromsø
46;35;Ørjan;Bohinen;M;NOR;Harstad CK;FE1;M Sport 17+;0:00.0;;;Harstad
46;40;Ronny;Iversen;M;NOR;Harstad CK;FE1;M Sport 17+;0:00.0;;;Harstad
46;43;Emil;Lerdahl;M;NOR;Harstad CK;FE1;M Sport 17+;0:00.0;;;Harstad
46;50;Kenneth;Nilsen;M;NOR;Krokbekken Stisykkelforening;FE1;M Sport 17+;0:00.0;;;Bardufoss
46;16;William;Salminen;M;NOR;HARSTAD;FE1;M Sport 17+;0:00.0;;;Harstad
46;27;Geir-Olav;Skogstad;M;NOR;HARSTAD;FE1;M Sport 17+;0:00.0;;;Harstad
46;51;Alexander;Solem;M;NOR;Krokbekken Stisykkelforening;FE1;M Sport 17+;0:00.0;;;Bardufoss
46;22;Bjørn-Tore;Wik;M;NOR;HARSTAD;FE1;M Sport 17+;0:00.0;;;Harstad
2;1;Helene;Gismervik;F;NOR;TVERLANDET;FE2;Trim/Adventure;5:55.0;0:00.0;2018-09-23T13:46:28.6480000;Tverlandet
1;2;Bjørnar Orion;Klinkenberg;M;NOR;Harstad CK;FE2;Trim/Adventure;8:03.0;2:08.0;2018-09-23T13:44:42.8320000;Harstad
2;11;Ida;Haugsmark;F;NOR;Harstad CK;FE2;K Junior;8:46.0;0:00.0;2018-09-23T13:42:20.4640000;Harstad
1;10;Kajsa;Uttakleiv;F;NOR;Harstad Cykelklubb;FE2;K Junior;7:37.0;1:09.0;2018-09-23T13:41:50.2690000;Harstad
999;4;Birk;Jørgensen;M;NOR;Harstad CK;FE2;M Junior;0:00.0;;;Harstad
999;5;Ask;Jørgensen;M;NOR;Harstad CK;FE2;M Junior;0:00.0;;;Harstad
4;6;Oliver S.;Klinkenberg;M;NOR;Harstad CK / Team Råtøff;FE2;M Junior;8:58.0;0:00.0;2018-09-23T13:43:45.6310000;Harstad
3;7;Sebastian;Molund Enoksen;M;NOR;Harstad CK / Leon Sport;FE2;M Junior;6:22.0;2:36.0;2018-09-23T13:39:15.0000000;Evenskjer
1;9;Amund;Røkenes;M;NOR;Harstad CK;FE2;M Junior;6:11.0;2:47.0;2018-09-23T13:42:15.1610000;Harstad
2;8;Jesper;Stattin;M;NOR;Harstad CK;FE2;M Junior;6:16.0;2:42.0;2018-09-23T13:37:59.0000000;Harstad
999;3;Julian Johan;Strand-Mikalsen;M;NOR;Harstad CK;FE2;M Junior;0:00.0;;;HARSTAD
1;15;Stefanie;Schramm;F;NOR;SVOLVÆR;FE2;Kvinner master;0:00.0;;;Svolvｾr
1;70;Peter;Nilsson;M;SWE;Vesterålen SK;FE2;Menn master;5:44.0;0:00.0;2018-09-23T13:51:00.2220000;Sortland
2;68;Jimmy;Johansen;M;NOR;Lofoten Ekstremsportklubb;FE2;Menn master;0:00.0;;;Gravdal
2;69;Bjørn-Ståle;Larsen;M;NOR;Lofoten Ekstremsportklubb;FE2;Menn master;0:00.0;;;Gravdal
1;12;Tonje Mari;Amundsen;F;NOR;Harstad CK;FE2;K Sport 17+;6:22.0;0:00.0;2018-09-23T13:44:31.9720000;Harstad
2;14;Vanja;Bråten;F;NOR;SØRVIK;FE2;K Sport 17+;7:22.0;1:00.0;2018-09-23T13:48:09.9960000;Sørvik
3;13;Ida Kristine;Sletta;F;NOR;NARVIK;FE2;K Sport 17+;0:00.0;;;Narvik
1;38;Einar;Frønum;M;NOR;Harstad CK;FE2;M Sport 17+;4:17.0;0:00.0;2018-09-23T13:54:10.6080000;Harstad
2;34;Anders;Røkenes;M;NOR;Harstad CK;FE2;M Sport 17+;4:20.0;0:03.0;2018-09-23T13:48:15.4550000;Harstad
3;64;Tord;Nese;M;NOR;Tromsø Enduro/Peab Bjørn Bygg;FE2;M Sport 17+;4:30.0;0:13.0;2018-09-23T14:11:54.4470000;Tromsø
4;54;Markus;Nore Kveim;M;NOR;Nissedal Stisykkel;FE2;M Sport 17+;4:35.0;0:18.0;2018-09-23T13:53:21.3140000;Tromsø
4;41;Stian;Storeng;M;NOR;Harstad CK;FE2;M Sport 17+;4:35.0;0:18.0;2018-09-23T14:08:44.3250000;Harstad
6;18;Alex;Rufibach;M;SUI;TROMSØ;FE2;M Sport 17+;4:40.0;0:23.0;2018-09-23T14:19:57.1940000;Tromsø
7;44;Håvard;Torvanger;M;NOR;Harstad CK / Equinor BIL;FE2;M Sport 17+;4:42.0;0:25.0;2018-09-23T13:51:21.9530000;Harstad
8;58;Arne;Radmann;M;NOR;Sti5;FE2;M Sport 17+;4:47.0;0:30.0;2018-09-23T13:51:34.7500000;Kabelv携
9;19;Stian;Hallén;M;NOR;HARSTAD;FE2;M Sport 17+;4:50.0;0:33.0;2018-09-23T13:51:51.9810000;Harstad
9;60;Frans;Meijers;M;NOR;Tromsø Enduro;FE2;M Sport 17+;4:50.0;0:33.0;2018-09-23T14:16:16.9330000;Tromsø
11;61;Lars;Gabrielsen;M;NOR;Tromsø Enduro;FE2;M Sport 17+;4:54.0;0:37.0;2018-09-23T14:16:14.0180000;Krokelvdalen
12;28;Christoffer;Borge Olsen;M;NOR;Aron Skiklubb / Aron SK;FE2;M Sport 17+;4:57.0;0:40.0;2018-09-23T13:52:48.4370000;Mjøndalen
13;17;Lars A.;Uttakleiv;M;NOR;HARSTAD;FE2;M Sport 17+;4:58.0;0:41.0;2018-09-23T13:58:06.1260000;Harstad
13;63;Rickard;Wessberg;M;SWE;Tromsø Enduro/Consto AS;FE2;M Sport 17+;4:58.0;0:41.0;2018-09-23T13:59:19.0970000;Tromsø
15;52;Jørn;Hanssen;M;NOR;Lofoten Ekstremsportklubb;FE2;M Sport 17+;4:59.0;0:42.0;2018-09-23T14:09:35.8000000;Leknes
16;67;Anders;S Bråten;M;NOR;Vollstadheia Krankklubb;FE2;M Sport 17+;5:05.0;0:48.0;2018-09-23T14:16:02.1580000;Sørvik
17;24;Carles;Debart;M;ESP;;FE2;M Sport 17+;5:06.0;0:49.0;2018-09-23T14:19:56.5880000;
18;48;Jon Håvard;H.appelkvist;M;NOR;IL Stjørdals-Blink;FE2;M Sport 17+;5:07.0;0:50.0;2018-09-23T13:54:10.1650000;Tromsø
18;36;Marius;Stamnes;M;NOR;Harstad CK;FE2;M Sport 17+;5:07.0;0:50.0;2018-09-23T13:54:28.5020000;Harstad
20;56;Leon;Molund;M;NOR;NOR Cykleklubb / Leon Sport;FE2;M Sport 17+;5:08.0;0:51.0;2018-09-23T13:57:16.8360000;Evenskjer
21;23;Martin;Liane;M;NOR;HARSTAD;FE2;M Sport 17+;5:12.0;0:55.0;2018-09-23T13:52:45.8300000;Harstad
