Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
28;26;Kristian;Eckhoff;M;NOR;SK Rye sykkel;SS1;Menn;10:29;02:43;2014-08-03T11:35:29.6890000;Oslo
29;22;Tage Rickard;Sundell;M;SWE;SK Rye sykkel / Team Ibis;SS1;Menn;10:31;02:45;2014-08-03T11:31:31.8270000;LEIKANGER
30;46;Ola;Alsterholm;M;NOR;Trysil SK;SS1;Menn;10:32;02:46;2014-08-03T11:55:32.1030000;SOGNDAL
2;38;Sander;Solvær;M;NOR;Kristiansands CK / Cube Action Team;SS1;Menn junior;10:33;02:47;2014-08-03T11:47:33.2500000;KRISTIANSAND S
3;37;Oscar;Smith;M;NOR;Kristiansands CK / Cube Action Team;SS1;Menn junior;10:34;02:48;2014-08-03T11:46:34.4570000;KRISTIANSAND S
33;33;Leiv;Tvenning;M;NOR;Bergen MTB Klubb;SS1;Menn;10:37;02:51;2014-08-03T11:42:37.6280000;BERGEN
34;31;Andreas;Hauge;M;NOR;Team Hauge;SS1;Menn;10:39;02:53;2014-08-03T11:40:39.3240000;PORSGRUNN
35;39;Thomas;Borthen;M;NOR;Heydi;SS1;Menn;10:39;02:53;2014-08-03T11:48:39.4500000;SKEDSMOKORSET
36;29;Thomas;Svendsen;M;NOR;OSLO;SS1;Menn;10:39;02:53;2014-08-03T11:38:39.9860000;OSLO
37;49;Geir Vidar;Bjørndalen;M;NOR;Romeriksåsen SK;SS1;Menn;10:40;02:54;2014-08-03T11:58:40.0170000;Gjerdrum
38;28;Anton;Odbro;M;SWE;GÖTEBORG;SS1;Menn;10:49;03:03;2014-08-03T11:37:49.2520000;Göteborg
39;17;Karsten;Hjelseth;M;NOR;Tsjuub;SS1;Menn;10:53;03:07;2014-08-03T11:26:53.6760000;Oslo
4;40;Morten;Ligård;M;NOR;Kongsberg IF Sykkel;SS1;Menn junior;11:08;03:22;2014-08-03T11:50:08.3940000;Kongsberg
41;44;Stian Lie;Hansen;M;NOR;Andebarkji TSK;SS1;Menn;11:11;03:25;2014-08-03T11:54:11.1070000;DRAMMEN
42;48;Fredrik;Arnesen;M;NOR;MOSS;SS1;Menn;11:21;03:35;2014-08-03T11:58:21.5780000;Moss
43;55;John;Magee;M;NOR;Statoil;SS1;Menn;11:24;03:38;2014-08-03T12:05:24.7730000;OSLO
44;57;Petter;Christiansen;M;NOR;RCK;SS1;Menn;11:31;03:45;2014-08-03T12:07:31.4040000;Bergen
45;62;Frank;Seidel;M;NOR;SK Rye sykkel / Traktorbike;SS1;Menn;11:32;03:46;2014-08-03T12:12:32.0660000;Hvam
46;47;Aleksander;Ødegård;M;NOR;KONGSBERG;SS1;Menn;11:41;03:55;2014-08-03T11:57:41.0070000;KONGSBERG
47;35;Øyvind;Horgen;M;NOR;Sande SpKl Sykkel / Blodsmak SK;SS1;Menn;11:52;04:06;2014-08-03T11:45:52.1890000;SANDE I VESTFOLD
48;74;Roy;Ripe;M;NOR;SK Rye sykkel / Team Ibis;SS1;Menn;12:06;04:20;2014-08-03T12:25:06.3440000;Fagerstrand
49;45;Lars;Stensløkken;M;NOR;Lillehammer CK / NTG Lillehammer;SS1;Menn;12:07;04:21;2014-08-03T11:56:07.2870000;LILLEHAMMER
50;58;Robert;Torp;M;NOR;Gresvik IF;SS1;Menn;12:10;04:24;2014-08-03T12:09:10.7400000;Fredrikstad
51;50;Stian;Wold;M;NOR;DRAMMEN;SS1;Menn;12:12;04:26;2014-08-03T12:01:12.0390000;Drammen
52;32;Jostein;Børresen;M;NOR;Drammen CK;SS1;Menn;12:12;04:26;2014-08-03T11:43:12.8030000;SOLBERGELVA
53;84;Håvard;Lior;M;NOR;OSLO;SS1;Menn;12:30;04:44;2014-08-03T12:35:30.0240000;OSLO
54;75;Stian;Bergeland;M;NOR;Oppdal SK;SS1;Menn;12:35;04:49;2014-08-03T12:25:35.9710000;OSLO
55;70;Morten;Westberg;M;NOR;Brembo Boyz;SS1;Menn;12:54;05:08;2014-08-03T12:21:54.0940000;OSLO
56;59;Henrik;Sagen;M;NOR;BERGEN;SS1;Menn;13:16;05:30;2014-08-03T12:11:16.9250000;bergen
57;61;Knut Espen;Bryhn;M;NOR;Drøbak-Frogn IL Sykkel;SS1;Menn;13:26;05:40;2014-08-03T12:13:26.2170000;DRØBAK
58;56;Even;Windju;M;NOR;TRYSIL;SS1;Menn;13:42;05:56;2014-08-03T12:08:42.0360000;TRYSIL
59;41;Truls Kristian;Syvertsen;M;NOR;Drammen CK;SS1;Menn;14:28;06:42;2014-08-03T11:54:28.4820000;Steinberg
60;65;Kent;Gundersen;M;NOR;Skogens Konger;SS1;Menn;14:59;07:13;2014-08-03T12:18:59.4300000;Lierstranda
5;63;Aleksander;Østerhus;M;NOR;Kristiansands CK;SS1;Menn junior;15:17;07:31;2014-08-03T12:17:17.3030000;KRISTIANSAND S
62;82;Joachim;Venberget;M;NOR;KONGSBERG;SS1;Menn;15:18;07:32;2014-08-03T12:36:18.3690000;KONGSBERG
63;51;Ola;Engene;M;NOR;VESTFOSSEN;SS1;Menn;15:37;07:51;2014-08-03T12:05:37.7140000;VESTFOSSEN
64;60;Glenn;Mørk;M;NOR;Nedre Buskerud Nerroverlag;SS1;Menn;16:12;08:26;2014-08-03T12:15:12.8330000;HOKKSUND
65;18;Øyvind;Sætra;M;NOR;Freeride Radicals;SS1;Menn;16:32;08:46;2014-08-03T11:33:32.4510000;Sogndal
66;24;Pål;Grotnes;M;NOR;Gressvik BMX;SS1;Menn;16:34;08:48;2014-08-03T11:39:34.9930000;Fredrikstad
1;42;Stina;Bondehagen;F;NOR;OSLO;SS2;Kvinner;09:58;00:00;2014-08-03T12:51:58.9510000;Oslo
2;53;Alice;Grindheim;F;NOR;Drammen CK / Team Ibis;SS2;Kvinner;10:36;00:38;2014-08-03T13:03:36.7590000;Oslo
3;67;Helene Thon;Moland;F;NOR;HOSLE;SS2;Kvinner;10:47;00:49;2014-08-03T13:17:47.8110000;Hosle
4;52;Vera;Leivsdottir;F;NOR;NTNUI;SS2;Kvinner;10:48;00:50;2014-08-03T13:02:48.3120000;Bergen
5;64;Joline;Johansson;F;SWE;Drammen CK / Friksjon Sykkel;SS2;Kvinner;11:27;01:29;2014-08-03T13:15:27.9250000;Nittedal
6;66;Astri;Knudsen;F;NOR;SK Rye sykkel / Team Ibis;SS2;Kvinner;12:18;02:20;2014-08-03T13:18:18.6390000;LEIKANGER
7;71;Ragnhild;Solheim;F;NOR;Snertne Pigers Velocipedklub;SS2;Kvinner;12:45;02:47;2014-08-03T13:23:45.9730000;Bergen
8;69;Synne;Opsand;F;NOR;Freeride Radicals;SS2;Kvinner;12:59;03:01;2014-08-03T13:21:59.4580000;OSLO
9;78;Ingvild;Andersen;F;NOR;Freeride Radicals;SS2;Kvinner;14:01;04:03;2014-08-03T13:32:01.3530000;SOGNDAL
1;8;Lars Vatnebryn;Sandviken;M;NOR;Drammen CK;SS2;Menn;07:41;00:00;2014-08-03T12:15:41.0310000;Kongsberg
2;4;Jostein;Hole;M;NOR;Drammen CK / Nedre Buskerud Nerroverlag;SS2;Menn;08:03;00:22;2014-08-03T12:12:03.9640000;Drammen
3;1;Niclas;Andersen;M;NOR;Drøbak-Frogn IL Sykkel / Bjørnstad Sport;SS2;Menn;08:07;00:26;2014-08-03T12:09:07.9090000;DRØBAK
4;2;Svenn;Fjeldheim;M;NOR;Nedre Buskerud Nerroverlag;SS2;Menn;08:11;00:30;2014-08-03T12:10:11.2170000;SOLBERGMOEN
5;5;Ove;Grøndal;M;NOR;Trailhead Nesbyen;SS2;Menn;08:13;00:32;2014-08-03T12:13:13.2410000;NESBYEN
6;6;John Ola;Buøy;M;NOR;Orkla CK / Team Ibis;SS2;Menn;08:17;00:36;2014-08-03T12:14:17.0200000;Buvika
7;3;Pål;Nakken;M;NOR;Molde CK;SS2;Menn;08:32;00:51;2014-08-03T12:11:32.4560000;Molde
8;7;Nicklas;Fastegård;M;NOR;Oppdal SK / Vpg Enduro;SS2;Menn;08:38;00:57;2014-08-03T12:15:38.3590000;Oppdal
9;9;Nils Einar;Berget;M;NOR;Sære Sogninger;SS2;Menn;08:38;00:57;2014-08-03T12:17:38.9780000;VALDERØYA
10;16;Bjørn;Ballangrud;M;NOR;Lillehammer CK / NTG Lillehammer;SS2;Menn;08:44;01:03;2014-08-03T12:24:44.1910000;Lillehammer
11;17;Karsten;Hjelseth;M;NOR;Tsjuub;SS2;Menn;08:51;01:10;2014-08-03T12:25:51.9060000;Oslo
12;23;Thomas;Klingenberg;M;NOR;SK Rye sykkel / Rye;SS2;Menn;08:54;01:13;2014-08-03T12:31:54.6410000;Oslo
13;30;Jonas;Lundin;M;SWE;OSLO;SS2;Menn;08:55;01:14;2014-08-03T12:38:55.2250000;OSLO
14;10;Per Morten;Mølsted;M;NOR;Oslostudentenes IK / Nordmarka Æksklusife Elitesykkelforæning;SS2;Menn;08:57;01:16;2014-08-03T12:18:57.0840000;Oslo
1;27;Ted;Johansen;M;NOR;IF Frøy;SS2;Menn junior;09:00;01:19;2014-08-03T12:36:00.5850000;OSLO
16;14;Pål;Neverdal;M;NOR;SK Rye sykkel;SS2;Menn;09:07;01:26;2014-08-03T12:23:07.1280000;OSLO
17;19;Yngve;Ydersbond;M;NOR;OSLO;SS2;Menn;09:07;01:26;2014-08-03T12:28:07.6670000;OSLO
18;18;Øyvind;Sætra;M;NOR;Freeride Radicals;SS2;Menn;09:17;01:36;2014-08-03T12:27:17.9220000;Sogndal
19;12;Martin;Tveitnes;M;NOR;EIKELANDSOSEN;SS2;Menn;09:20;01:39;2014-08-03T12:21:20.3880000;EIKELANDSOSEN
20;22;Tage Rickard;Sundell;M;SWE;SK Rye sykkel / Team Ibis;SS2;Menn;09:21;01:40;2014-08-03T12:31:21.1700000;LEIKANGER
21;11;Bård Sturla;Stokke;M;NOR;OSLO;SS2;Menn;09:21;01:40;2014-08-03T12:20:21.5160000;OSLO
22;25;Bendik Stubstad;Henriksen;M;NOR;SK Rye sykkel / Sti5;SS2;Menn;09:24;01:43;2014-08-03T12:34:24.7990000;Oslo
23;13;Baard;Hellebostad;M;NOR;Nesodden SK;SS2;Menn;09:26;01:45;2014-08-03T12:22:26.5310000;Borgen
24;28;Anton;Odbro;M;SWE;GÖTEBORG;SS2;Menn;09:26;01:45;2014-08-03T12:37:26.7090000;Göteborg
25;34;Jan Helge;Aalbu;M;NOR;Sogn CK;SS2;Menn;09:28;01:47;2014-08-03T12:43:28.3030000;Sogndal
26;36;Arild;Gravdal;M;NOR;Bergen MTB Klubb;SS2;Menn;09:34;01:53;2014-08-03T12:45:34.6290000;Øvre Ervik
27;20;Stian;Rånes;M;NOR;Drammen CK;SS2;Menn;09:41;02:00;2014-08-03T12:29:41.1320000;Drammen
28;26;Kristian;Eckhoff;M;NOR;SK Rye sykkel;SS2;Menn;09:41;02:00;2014-08-03T12:35:41.7520000;Oslo
29;15;Alf Petter;Syvertsen;M;NOR;Freeride Radicals;SS2;Menn;09:42;02:01;2014-08-03T12:24:42.9400000;OSLO
30;43;Daniel;Jarstø;M;NOR;Klepp Cykle Club;SS2;Menn;09:45;02:04;2014-08-03T12:52:45.0820000;Stavanger
31;49;Geir Vidar;Bjørndalen;M;NOR;Romeriksåsen SK;SS2;Menn;09:45;02:04;2014-08-03T12:58:45.5550000;Gjerdrum
32;31;Andreas;Hauge;M;NOR;Team Hauge;SS2;Menn;09:45;02:04;2014-08-03T12:40:45.8500000;PORSGRUNN
33;54;Erik;Olsson;M;NOR;Trysil SK / Team TDS;SS2;Menn;09:46;02:05;2014-08-03T13:03:46.4320000;Trysil
34;35;Øyvind;Horgen;M;NOR;Sande SpKl Sykkel / Blodsmak SK;SS2;Menn;09:50;02:09;2014-08-03T12:44:50.5580000;SANDE I VESTFOLD
35;39;Thomas;Borthen;M;NOR;Heydi;SS2;Menn;09:52;02:11;2014-08-03T12:48:52.1550000;SKEDSMOKORSET
36;46;Ola;Alsterholm;M;NOR;Trysil SK;SS2;Menn;09:54;02:13;2014-08-03T12:55:54.1100000;SOGNDAL
37;44;Stian Lie;Hansen;M;NOR;Andebarkji TSK;SS2;Menn;09:55;02:14;2014-08-03T12:53:55.3700000;DRAMMEN
2;37;Oscar;Smith;M;NOR;Kristiansands CK / Cube Action Team;SS2;Menn junior;10:06;02:25;2014-08-03T12:47:06.0280000;KRISTIANSAND S
39;45;Lars;Stensløkken;M;NOR;Lillehammer CK / NTG Lillehammer;SS2;Menn;10:14;02:33;2014-08-03T12:55:14.2300000;LILLEHAMMER
40;47;Aleksander;Ødegård;M;NOR;KONGSBERG;SS2;Menn;10:26;02:45;2014-08-03T12:57:26.8310000;KONGSBERG
41;74;Roy;Ripe;M;NOR;SK Rye sykkel / Team Ibis;SS2;Menn;10:30;02:49;2014-08-03T13:24:30.6850000;Fagerstrand
42;48;Fredrik;Arnesen;M;NOR;MOSS;SS2;Menn;10:31;02:50;2014-08-03T12:58:31.9870000;Moss
3;38;Sander;Solvær;M;NOR;Kristiansands CK / Cube Action Team;SS2;Menn junior;10:32;02:51;2014-08-03T12:48:32.2770000;KRISTIANSAND S
44;57;Petter;Christiansen;M;NOR;RCK;SS2;Menn;10:32;02:51;2014-08-03T13:07:32.8820000;Bergen
45;41;Truls Kristian;Syvertsen;M;NOR;Drammen CK;SS2;Menn;10:34;02:53;2014-08-03T12:51:34.0020000;Steinberg
46;62;Frank;Seidel;M;NOR;SK Rye sykkel / Traktorbike;SS2;Menn;10:36;02:55;2014-08-03T13:12:36.2680000;Hvam
47;84;Håvard;Lior;M;NOR;OSLO;SS2;Menn;10:50;03:09;2014-08-03T13:34:50.5180000;OSLO
4;40;Morten;Ligård;M;NOR;Kongsberg IF Sykkel;SS2;Menn junior;10:51;03:10;2014-08-03T12:50:51.3880000;Kongsberg
49;32;Jostein;Børresen;M;NOR;Drammen CK;SS2;Menn;10:59;03:18;2014-08-03T12:42:59.1390000;SOLBERGELVA
50;58;Robert;Torp;M;NOR;Gresvik IF;SS2;Menn;10:59;03:18;2014-08-03T13:08:59.5890000;Fredrikstad
51;29;Thomas;Svendsen;M;NOR;OSLO;SS2;Menn;11:01;03:20;2014-08-03T12:40:01.9050000;OSLO
52;33;Leiv;Tvenning;M;NOR;Bergen MTB Klubb;SS2;Menn;11:02;03:21;2014-08-03T12:44:02.1640000;BERGEN
53;55;John;Magee;M;NOR;Statoil;SS2;Menn;11:09;03:28;2014-08-03T13:06:09.0820000;OSLO
54;51;Ola;Engene;M;NOR;VESTFOSSEN;SS2;Menn;11:10;03:29;2014-08-03T13:02:10.5690000;VESTFOSSEN
55;50;Stian;Wold;M;NOR;DRAMMEN;SS2;Menn;11:27;03:46;2014-08-03T13:01:27.4930000;Drammen
56;65;Kent;Gundersen;M;NOR;Skogens Konger;SS2;Menn;11:41;04:00;2014-08-03T13:16:41.3010000;Lierstranda
57;70;Morten;Westberg;M;NOR;Brembo Boyz;SS2;Menn;11:45;04:04;2014-08-03T13:21:45.8690000;OSLO
58;61;Knut Espen;Bryhn;M;NOR;Drøbak-Frogn IL Sykkel;SS2;Menn;11:47;04:06;2014-08-03T13:12:47.3080000;DRØBAK
59;60;Glenn;Mørk;M;NOR;Nedre Buskerud Nerroverlag;SS2;Menn;12:00;04:19;2014-08-03T13:12:00.2200000;HOKKSUND
60;75;Stian;Bergeland;M;NOR;Oppdal SK;SS2;Menn;12:00;04:19;2014-08-03T13:26:00.3280000;OSLO
61;59;Henrik;Sagen;M;NOR;BERGEN;SS2;Menn;12:13;04:32;2014-08-03T13:11:13.8640000;bergen
5;63;Aleksander;Østerhus;M;NOR;Kristiansands CK;SS2;Menn junior;12:18;04:37;2014-08-03T13:15:18.1030000;KRISTIANSAND S
63;82;Joachim;Venberget;M;NOR;KONGSBERG;SS2;Menn;12:33;04:52;2014-08-03T13:34:33.0630000;KONGSBERG
64;56;Even;Windju;M;NOR;TRYSIL;SS2;Menn;12:37;04:56;2014-08-03T13:08:37.5730000;TRYSIL
1;42;Stina;Bondehagen;F;NOR;OSLO;SS3;Kvinner;05:16;00:00;2014-08-03T13:47:16.4640000;Oslo
2;52;Vera;Leivsdottir;F;NOR;NTNUI;SS3;Kvinner;05:25;00:09;2014-08-03T13:57:25.0150000;Bergen
