Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
37;44;Stian Lie;Hansen;M;NOR;Andebarkji TSK;SS3;Menn;05:07;01:25;2014-08-03T13:49:07.9290000;DRAMMEN
38;49;Geir Vidar;Bjørndalen;M;NOR;Romeriksåsen SK;SS3;Menn;05:12;01:30;2014-08-03T13:54:12.2190000;Gjerdrum
39;39;Thomas;Borthen;M;NOR;Heydi;SS3;Menn;05:12;01:30;2014-08-03T13:44:12.8610000;SKEDSMOKORSET
40;74;Roy;Ripe;M;NOR;SK Rye sykkel / Team Ibis;SS3;Menn;05:14;01:32;2014-08-03T14:19:14.7600000;Fagerstrand
3;37;Oscar;Smith;M;NOR;Kristiansands CK / Cube Action Team;SS3;Menn junior;05:17;01:35;2014-08-03T13:42:17.2220000;KRISTIANSAND S
42;84;Håvard;Lior;M;NOR;OSLO;SS3;Menn;05:19;01:37;2014-08-03T14:29:19.2060000;OSLO
43;45;Lars;Stensløkken;M;NOR;Lillehammer CK / NTG Lillehammer;SS3;Menn;05:24;01:42;2014-08-03T13:50:24.6990000;LILLEHAMMER
44;62;Frank;Seidel;M;NOR;SK Rye sykkel / Traktorbike;SS3;Menn;05:25;01:43;2014-08-03T14:07:25.3560000;Hvam
45;26;Kristian;Eckhoff;M;NOR;SK Rye sykkel;SS3;Menn;05:28;01:46;2014-08-03T13:31:28.4070000;Oslo
46;41;Truls Kristian;Syvertsen;M;NOR;Drammen CK;SS3;Menn;05:32;01:50;2014-08-03T13:46:32.3110000;Steinberg
47;35;Øyvind;Horgen;M;NOR;Sande SpKl Sykkel / Blodsmak SK;SS3;Menn;05:41;01:59;2014-08-03T13:40:41.3050000;SANDE I VESTFOLD
48;48;Fredrik;Arnesen;M;NOR;MOSS;SS3;Menn;05:41;01:59;2014-08-03T13:53:41.6680000;Moss
49;33;Leiv;Tvenning;M;NOR;Bergen MTB Klubb;SS3;Menn;05:43;02:01;2014-08-03T13:38:43.1150000;BERGEN
4;40;Morten;Ligård;M;NOR;Kongsberg IF Sykkel;SS3;Menn junior;05:47;02:05;2014-08-03T13:45:47.5380000;Kongsberg
51;70;Morten;Westberg;M;NOR;Brembo Boyz;SS3;Menn;05:57;02:15;2014-08-03T14:15:57.7380000;OSLO
